ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
XL,El Prat de Llobregat - el Prat de Llobregat,EL_PRAT_DE_LLOBREGAT___EL_PRAT_DE_LLOBREGAT_XL,2026-02-04,2026-02-04 16:04:42,https://www.meteo.cat/observacions/xema/dades?codi=XL&dia=2026-02-04T09:00Z,,83%,0.3 mm,,4.9 MJ/m2,29.5 km/h - 244º 13:13 TU,14.9 °C 15:16 TU,4.6 °C 3:03 TU,8.0 °C
VZ,Espolla,ESPOLLA_VZ,2026-02-04,2026-02-04 16:04:45,https://www.meteo.cat/observacions/xema/dades?codi=VZ&dia=2026-02-04T09:00Z,,84%,0.0 mm,,,,14.4 °C 13:31 TU,0.9 °C 4:57 TU,6.6 °C
Z7,Espot (2.519 m),ESPOT_2519_M_Z7,2026-02-04,2026-02-04 16:04:47,https://www.meteo.cat/observacions/xema/dades?codi=Z7&dia=2026-02-04T09:00Z,70 cm,85%,6.9 mm,,9.0 MJ/m2,52.6 km/h - 208º 5:59 TU,-3.0 °C 13:15 TU,-8.1 °C 4:33 TU,-6.7 °C
XJ,Girona,GIRONA_XJ,2026-02-04,2026-02-04 16:04:50,https://www.meteo.cat/observacions/xema/dades?codi=XJ&dia=2026-02-04T09:00Z,,85%,0.1 mm,993.8 hPa,7.5 MJ/m2,33.1 km/h - 210º 11:09 TU,14.2 °C 13:23 TU,-0.3 °C 3:37 TU,5.5 °C
YU,L'esquirol - Cantonigròs,LESQUIROL___CANTONIGROS_YU,2026-02-04,2026-02-04 16:04:52,https://www.meteo.cat/observacions/xema/dades?codi=YU&dia=2026-02-04T09:00Z,,93%,0.1 mm,,2.5 MJ/m2,27.7 km/h - 267º 13:33 TU,5.1 °C 14:51 TU,0.7 °C 3:48 TU,2.5 °C
CD,La Seu D'urgell - la Seu D'urgell - Bellestar,LA_SEU_DURGELL___LA_SEU_DURGELL___BELLESTAR_CD,2026-02-04,2026-02-04 16:04:55,https://www.meteo.cat/observacions/xema/dades?codi=CD&dia=2026-02-04T09:00Z,,89%,0.3 mm,995.0 hPa,8.9 MJ/m2,19.8 km/h - 210º 14:15 TU,9.8 °C 14:42 TU,0.1 °C 7:31 TU,2.6 °C
Z2,La Vall de Boí - Boí (2.535 m),LA_VALL_DE_BOI___BOI_2535_M_Z2,2026-02-04,2026-02-04 16:04:57,https://www.meteo.cat/observacions/xema/dades?codi=Z2&dia=2026-02-04T09:00Z,114 cm,94%,5.9 mm,,5.9 MJ/m2,16.6 km/h - 265º 1:06 TU,-4.7 °C 13:19 TU,-8.4 °C 3:31 TU,-7.1 °C
VK,Lleida - Raimat,LLEIDA___RAIMAT_VK,2026-02-04,2026-02-04 16:05:00,https://www.meteo.cat/observacions/xema/dades?codi=VK&dia=2026-02-04T09:00Z,,87%,0.5 mm,994.5 hPa,8.2 MJ/m2,23.0 km/h - 260º 13:33 TU,11.0 °C 14:51 TU,3.8 °C 1:00 TU,6.6 °C
Z3,Meranges - Malniu (2.230 m),MERANGES___MALNIU_2230_M_Z3,2026-02-04,2026-02-04 16:05:02,https://www.meteo.cat/observacions/xema/dades?codi=Z3&dia=2026-02-04T09:00Z,113 cm,85%,0.3 mm,,6.9 MJ/m2,28.8 km/h - 215º 4:53 TU,-0.5 °C 12:36 TU,-6.8 °C 1:40 TU,-4.9 °C
YB,Olot,OLOT_YB,2026-02-04,2026-02-04 16:05:05,https://www.meteo.cat/observacions/xema/dades?codi=YB&dia=2026-02-04T09:00Z,,76%,0.0 mm,993.3 hPa,9.4 MJ/m2,33.5 km/h - 214º 12:34 TU,12.8 °C 14:05 TU,0.6 °C 5:06 TU,5.6 °C
YP,Palafrugell,PALAFRUGELL_YP,2026-02-04,2026-02-04 16:05:07,https://www.meteo.cat/observacions/xema/dades?codi=YP&dia=2026-02-04T09:00Z,,88%,6.2 mm,,7.7 MJ/m2,45.0 km/h - 203º 12:03 TU,12.4 °C 14:15 TU,2.9 °C 3:03 TU,8.0 °C
J5,Pantà de Darnius - Boadella,PANTA_DE_DARNIUS___BOADELLA_J5,2026-02-04,2026-02-04 16:05:10,https://www.meteo.cat/observacions/xema/dades?codi=J5&dia=2026-02-04T09:00Z,,71%,0.0 mm,992.7 hPa,9.8 MJ/m2,33.1 km/h - 223º 3:44 TU,14.8 °C 13:26 TU,3.2 °C 2:08 TU,8.6 °C
D6,Portbou - Coll dels Belitres,PORTBOU___COLL_DELS_BELITRES_D6,2026-02-04,2026-02-04 16:05:12,https://www.meteo.cat/observacions/xema/dades?codi=D6&dia=2026-02-04T09:00Z,,72%,0.0 mm,991.7 hPa,8.9 MJ/m2,72.0 km/h - 215º 11:32 TU,13.8 °C 13:17 TU,7.4 °C 3:41 TU,9.8 °C
YA,Puigcerdà,PUIGCERDA_YA,2026-02-04,2026-02-04 16:05:15,https://www.meteo.cat/observacions/xema/dades?codi=YA&dia=2026-02-04T09:00Z,,81%,0.0 mm,994.6 hPa,10.1 MJ/m2,24.1 km/h - 210º 14:58 TU,7.2 °C 14:43 TU,-3.0 °C 6:35 TU,0.6 °C
DG,Queralbs - Núria (1.971 m),QUERALBS___NURIA_1971_M_DG,2026-02-04,2026-02-04 16:05:17,https://www.meteo.cat/observacions/xema/dades?codi=DG&dia=2026-02-04T09:00Z,112 cm,70%,0.0 mm,,6.8 MJ/m2,36.7 km/h - 258º 3:22 TU,2.7 °C 13:36 TU,-6.3 °C 1:24 TU,-2.3 °C
D4,Roses,ROSES_D4,2026-02-04,2026-02-04 16:05:20,https://www.meteo.cat/observacions/xema/dades?codi=D4&dia=2026-02-04T09:00Z,,80%,0.0 mm,993.4 hPa,8.5 MJ/m2,38.5 km/h - 167º 11:42 TU,14.2 °C 13:50 TU,5.4 °C 3:46 TU,10.5 °C
CI,Sant Pau de Segúries,SANT_PAU_DE_SEGURIES_CI,2026-02-04,2026-02-04 16:05:22,https://www.meteo.cat/observacions/xema/dades?codi=CI&dia=2026-02-04T09:00Z,,86%,0.6 mm,995.2 hPa,,41.8 km/h - 242º 12:26 TU,8.5 °C 14:12 TU,-1.9 °C 4:10 TU,1.8 °C
XS,Santa Coloma de Farners,SANTA_COLOMA_DE_FARNERS_XS,2026-02-04,2026-02-04 16:05:24,https://www.meteo.cat/observacions/xema/dades?codi=XS&dia=2026-02-04T09:00Z,,79%,0.0 mm,,9.5 MJ/m2,38.5 km/h - 222º 11:10 TU,14.2 °C 13:21 TU,1.4 °C 4:53 TU,6.6 °C
ZC,Setcases - Ulldeter (2.413 m),SETCASES___ULLDETER_2413_M_ZC,2026-02-04,2026-02-04 16:05:27,https://www.meteo.cat/observacions/xema/dades?codi=ZC&dia=2026-02-04T09:00Z,57 cm,78%,0.0 mm,,10.3 MJ/m2,83.9 km/h - 211º 6:30 TU,-2.0 °C 12:45 TU,-7.9 °C 5:26 TU,-5.8 °C
XH,Sort,SORT_XH,2026-02-04,2026-02-04 16:05:30,https://www.meteo.cat/observacions/xema/dades?codi=XH&dia=2026-02-04T09:00Z,1 cm,91%,0.6 mm,995.0 hPa,,,9.2 °C 12:33 TU,1.5 °C 5:02 TU,3.8 °C
XE,Tarragona - Complex Educatiu,TARRAGONA___COMPLEX_EDUCATIU_XE,2026-02-04,2026-02-04 16:05:32,https://www.meteo.cat/observacions/xema/dades?codi=XE&dia=2026-02-04T09:00Z,,73%,0.7 mm,993.8 hPa,10.7 MJ/m2,24.5 km/h - 221º 12:26 TU,16.4 °C 14:35 TU,6.4 °C 2:03 TU,9.9 °C
UE,Torroella de Montgrí,TORROELLA_DE_MONTGRI_UE,2026-02-04,2026-02-04 16:05:34,https://www.meteo.cat/observacions/xema/dades?codi=UE&dia=2026-02-04T09:00Z,,86%,0.6 mm,,,,13.9 °C 14:57 TU,5.3 °C 1:43 TU,9.4 °C
XO,Vic,VIC_XO,2026-02-04,2026-02-04 16:05:37,https://www.meteo.cat/observacions/xema/dades?codi=XO&dia=2026-02-04T09:00Z,,91%,0.1 mm,,6.5 MJ/m2,29.9 km/h - 259º 15:21 TU,9.9 °C 14:18 TU,-1.2 °C 4:43 TU,2.8 °C
VS,Vielha e Mijaran - Lac Redon (2.247 m),VIELHA_E_MIJARAN___LAC_REDON_2247_M_VS,2026-02-04,2026-02-04 16:05:39,https://www.meteo.cat/observacions/xema/dades?codi=VS&dia=2026-02-04T09:00Z,203 cm,94%,0.5 mm,,4.6 MJ/m2,0.4 km/h - 132º 12:07 TU,-0.2 °C 13:23 TU,-6.3 °C 5:32 TU,-4.5 °C
D7,Vinebre,VINEBRE_D7,2026-02-04,2026-02-04 16:05:42,https://www.meteo.cat/observacions/xema/dades?codi=D7&dia=2026-02-04T09:00Z,,88%,1.2 mm,994.7 hPa,9.1 MJ/m2,22.7 km/h - 307º 12:50 TU,14.9 °C 15:29 TU,1.7 °C 1:26 TU,6.4 °C
