ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
WB,Albesa,ALBESA_WB,2026-01-29,2026-01-29 11:54:10,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-01-29T09:00Z,,89%,0.0 mm,,0.9 MJ/m2,10.8 km/h - 268º 1:56 TU,5.6 °C 10:29 TU,1.8 °C 4:24 TU,3.6 °C
XY,Alcarràs,ALCARRAS_XY,2026-01-29,2026-01-29 11:54:13,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-01-29T09:00Z,,98%,0.1 mm,,,8.6 km/h - 253º 10:27 TU,9.2 °C 10:18 TU,1.4 °C 4:06 TU,3.8 °C
U7,Aldover,ALDOVER_U7,2026-01-29,2026-01-29 11:54:15,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-01-29T09:00Z,,69%,0.2 mm,,0.8 MJ/m2,19.4 km/h - 19º 1:11 TU,13.1 °C 1:38 TU,8.5 °C 8:20 TU,10.5 °C
WK,Alfarràs,ALFARRAS_WK,2026-01-29,2026-01-29 11:54:18,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-01-29T09:00Z,,93%,0.0 mm,,,12.6 km/h - 323º 0:29 TU,5.4 °C 10:25 TU,1.2 °C 3:34 TU,3.6 °C
WG,Algerri,ALGERRI_WG,2026-01-29,2026-01-29 11:54:20,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-01-29T09:00Z,,90%,0.0 mm,,0.9 MJ/m2,20.2 km/h - 335º 0:33 TU,5.5 °C 0:49 TU,2.2 °C 3:48 TU,3.9 °C
X3,Alguaire,ALGUAIRE_X3,2026-01-29,2026-01-29 11:54:22,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-01-29T09:00Z,,99%,0.0 mm,1003.4 hPa,0.9 MJ/m2,25.2 km/h - 303º 1:18 TU,6.4 °C 10:04 TU,2.0 °C 3:38 TU,3.6 °C
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-01-29,2026-01-29 11:54:25,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-01-29T09:00Z,sense dades,77%,0.9 mm,,1.2 MJ/m2,0.0 km/h - 0º 7:30 TU,-2.9 °C 10:28 TU,-8.9 °C 3:31 TU,-7.1 °C
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-01-29,2026-01-29 11:54:27,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-01-29T09:00Z,116 cm,89%,0.0 mm,,0.9 MJ/m2,,-0.6 °C 10:29 TU,-6.2 °C 3:12 TU,-4.7 °C
Z1,Alt Àneu - Bonaigua (2.266 m),ALT_ANEU___BONAIGUA_2266_M_Z1,2026-01-29,2026-01-29 11:54:30,https://www.meteo.cat/observacions/xema/dades?codi=Z1&dia=2026-01-29T09:00Z,173 cm,64%,0.0 mm,,2.2 MJ/m2,28.1 km/h - 214º 0:08 TU,2.4 °C 10:26 TU,-8.0 °C 3:04 TU,-4.5 °C
UU,Amposta,AMPOSTA_UU,2026-01-29,2026-01-29 11:54:32,https://www.meteo.cat/observacions/xema/dades?codi=UU&dia=2026-01-29T09:00Z,,74%,0.1 mm,1002.9 hPa,1.1 MJ/m2,23.0 km/h - 203º 0:31 TU,12.7 °C 0:00 TU,8.2 °C 5:17 TU,9.5 °C
