ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
YU,L'esquirol - Cantonigròs,LESQUIROL___CANTONIGROS_YU,2026-01-22,2026-01-22 06:45:43,https://www.meteo.cat/observacions/xema/dades?codi=YU&dia=2026-01-22T09:00Z,,100%,0.0 mm,,0.0 MJ/m2,32.0 km/h - 278º 1:34 TU,4.3 °C 2:14 TU,4.0 °C 5:12 TU,4.2 °C
DF,La Bisbal D'empordà - la Bisbal D'empordà,LA_BISBAL_DEMPORDA___LA_BISBAL_DEMPORDA_DF,2026-01-22,2026-01-22 06:45:46,https://www.meteo.cat/observacions/xema/dades?codi=DF&dia=2026-01-22T09:00Z,,86%,0.0 mm,993.9 hPa,0.0 MJ/m2,45.4 km/h - 227º 0:02 TU,11.6 °C 0:04 TU,8.1 °C 5:05 TU,10.4 °C
WO,La Bisbal del Penedès - la Bisbal del Penedès,LA_BISBAL_DEL_PENEDES___LA_BISBAL_DEL_PENEDES_WO,2026-01-22,2026-01-22 06:45:48,https://www.meteo.cat/observacions/xema/dades?codi=WO&dia=2026-01-22T09:00Z,,93%,0.8 mm,,,,10.6 °C 3:33 TU,8.8 °C 3:02 TU,9.4 °C
ZE,La Coma i la Pedra - el Port del Comte (2.290 m),LA_COMA_I_LA_PEDRA___EL_PORT_DEL_COMTE_2290_M_ZE,2026-01-22,2026-01-22 06:45:51,https://www.meteo.cat/observacions/xema/dades?codi=ZE&dia=2026-01-22T09:00Z,91 cm,100%,0.0 mm,,0.0 MJ/m2,0.0 km/h - 0º 0:00 TU,-3.3 °C 0:00 TU,-3.8 °C 2:47 TU,-3.6 °C
UM,La Granadella - la Granadella,LA_GRANADELLA___LA_GRANADELLA_UM,2026-01-22,2026-01-22 06:45:53,https://www.meteo.cat/observacions/xema/dades?codi=UM&dia=2026-01-22T09:00Z,,100%,1.0 mm,,0.0 MJ/m2,27.4 km/h - 311º 4:13 TU,7.3 °C 0:06 TU,5.8 °C 5:27 TU,6.4 °C
XB,La Llacuna - la Llacuna,LA_LLACUNA___LA_LLACUNA_XB,2026-01-22,2026-01-22 06:45:57,https://www.meteo.cat/observacions/xema/dades?codi=XB&dia=2026-01-22T09:00Z,,90%,0.2 mm,,,,8.0 °C 0:59 TU,6.5 °C 5:29 TU,7.5 °C
YC,La Pobla de Segur - la Pobla de Segur,LA_POBLA_DE_SEGUR___LA_POBLA_DE_SEGUR_YC,2026-01-22,2026-01-22 06:45:59,https://www.meteo.cat/observacions/xema/dades?codi=YC&dia=2026-01-22T09:00Z,,99%,1.1 mm,996.5 hPa,0.0 MJ/m2,10.8 km/h - 337º 2:08 TU,5.5 °C 2:14 TU,5.0 °C 5:00 TU,5.2 °C
CR,La Quar - la Quar,LA_QUAR___LA_QUAR_CR,2026-01-22,2026-01-22 06:46:02,https://www.meteo.cat/observacions/xema/dades?codi=CR&dia=2026-01-22T09:00Z,,99%,0.1 mm,995.8 hPa,,14.4 km/h - 36º 5:06 TU,4.5 °C 2:50 TU,3.6 °C 5:29 TU,4.0 °C
KX,La Roca del Vallès - la Roca del Vallès - Etap Cardedeu,LA_ROCA_DEL_VALLES___LA_ROCA_DEL_VALLES___ETAP_CAR,2026-01-22,2026-01-22 06:46:04,https://www.meteo.cat/observacions/xema/dades?codi=KX&dia=2026-01-22T09:00Z,,,,,,,,,
UW,La Ràpita - els Alfacs,LA_RAPITA___ELS_ALFACS_UW,2026-01-22,2026-01-22 06:46:07,https://www.meteo.cat/observacions/xema/dades?codi=UW&dia=2026-01-22T09:00Z,,88%,1.4 mm,995.3 hPa,0.0 MJ/m2,24.8 km/h - 336º 1:04 TU,12.0 °C 0:00 TU,8.8 °C 3:37 TU,10.1 °C
