ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
D4,Roses,ROSES_D4,2026-02-04,2026-02-04 14:28:25,https://www.meteo.cat/observacions/xema/dades?codi=D4&dia=2026-02-04T09:00Z,,82%,0.0 mm,993.7 hPa,7.1 MJ/m2,38.5 km/h - 167º 11:42 TU,14.2 °C 13:50 TU,5.4 °C 3:46 TU,10.2 °C
CI,Sant Pau de Segúries,SANT_PAU_DE_SEGURIES_CI,2026-02-04,2026-02-04 14:28:28,https://www.meteo.cat/observacions/xema/dades?codi=CI&dia=2026-02-04T09:00Z,,88%,0.6 mm,995.8 hPa,,41.8 km/h - 242º 12:26 TU,8.4 °C 13:21 TU,-1.9 °C 4:10 TU,1.1 °C
XS,Santa Coloma de Farners,SANTA_COLOMA_DE_FARNERS_XS,2026-02-04,2026-02-04 14:28:30,https://www.meteo.cat/observacions/xema/dades?codi=XS&dia=2026-02-04T09:00Z,,81%,0.0 mm,,7.6 MJ/m2,38.5 km/h - 222º 11:10 TU,14.2 °C 13:21 TU,1.4 °C 4:53 TU,6.0 °C
ZC,Setcases - Ulldeter (2.413 m),SETCASES___ULLDETER_2413_M_ZC,2026-02-04,2026-02-04 14:28:33,https://www.meteo.cat/observacions/xema/dades?codi=ZC&dia=2026-02-04T09:00Z,57 cm,79%,0.7 mm,,8.6 MJ/m2,83.9 km/h - 211º 6:30 TU,-2.0 °C 12:45 TU,-7.9 °C 5:26 TU,-6.1 °C
XH,Sort,SORT_XH,2026-02-04,2026-02-04 14:28:35,https://www.meteo.cat/observacions/xema/dades?codi=XH&dia=2026-02-04T09:00Z,2 cm,93%,0.6 mm,995.4 hPa,,,9.2 °C 12:33 TU,1.5 °C 5:02 TU,3.3 °C
XE,Tarragona - Complex Educatiu,TARRAGONA___COMPLEX_EDUCATIU_XE,2026-02-04,2026-02-04 14:28:38,https://www.meteo.cat/observacions/xema/dades?codi=XE&dia=2026-02-04T09:00Z,,75%,0.7 mm,994.0 hPa,8.8 MJ/m2,24.5 km/h - 221º 12:26 TU,15.3 °C 13:44 TU,6.4 °C 2:03 TU,9.3 °C
UE,Torroella de Montgrí,TORROELLA_DE_MONTGRI_UE,2026-02-04,2026-02-04 14:28:40,https://www.meteo.cat/observacions/xema/dades?codi=UE&dia=2026-02-04T09:00Z,,88%,0.6 mm,,,,13.8 °C 12:45 TU,5.3 °C 1:43 TU,8.9 °C
XO,Vic,VIC_XO,2026-02-04,2026-02-04 14:28:43,https://www.meteo.cat/observacions/xema/dades?codi=XO&dia=2026-02-04T09:00Z,,93%,0.1 mm,,4.5 MJ/m2,22.3 km/h - 216º 13:47 TU,9.5 °C 13:58 TU,-1.2 °C 4:43 TU,2.1 °C
VS,Vielha e Mijaran - Lac Redon (2.247 m),VIELHA_E_MIJARAN___LAC_REDON_2247_M_VS,2026-02-04,2026-02-04 14:28:45,https://www.meteo.cat/observacions/xema/dades?codi=VS&dia=2026-02-04T09:00Z,203 cm,93%,0.5 mm,,4.0 MJ/m2,0.4 km/h - 132º 12:07 TU,-0.2 °C 13:23 TU,-6.3 °C 5:32 TU,-4.9 °C
D7,Vinebre,VINEBRE_D7,2026-02-04,2026-02-04 14:28:48,https://www.meteo.cat/observacions/xema/dades?codi=D7&dia=2026-02-04T09:00Z,,91%,1.2 mm,995.0 hPa,7.1 MJ/m2,22.7 km/h - 307º 12:50 TU,14.4 °C 13:40 TU,1.7 °C 1:26 TU,5.5 °C
