ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
DJ,Banyoles,BANYOLES_DJ,2026-02-07,2026-02-07 17:57:58,https://www.meteo.cat/observacions/xema/dades?codi=DJ&dia=2026-02-07T09:00Z,,63%,0.0 mm,1003.6 hPa,12.1 MJ/m2,33.1 km/h - 201º 12:33 TU,15.9 °C 13:45 TU,5.7 °C 7:01 TU,10.7 °C
X4,Barcelona - el Raval,BARCELONA___EL_RAVAL_X4,2026-02-07,2026-02-07 17:58:00,https://www.meteo.cat/observacions/xema/dades?codi=X4&dia=2026-02-07T09:00Z,,48%,0.0 mm,1005.2 hPa,12.3 MJ/m2,45.0 km/h - 286º 9:27 TU,16.5 °C 14:50 TU,11.2 °C 7:48 TU,13.2 °C
D5,Barcelona - Observatori Fabra,BARCELONA___OBSERVATORI_FABRA_D5,2026-02-07,2026-02-07 17:58:03,https://www.meteo.cat/observacions/xema/dades?codi=D5&dia=2026-02-07T09:00Z,,62%,0.0 mm,1004.7 hPa,12.8 MJ/m2,50.8 km/h - 345º 6:54 TU,14.1 °C 14:46 TU,7.0 °C 4:44 TU,9.4 °C
X8,Barcelona - Zona Universitària,BARCELONA___ZONA_UNIVERSITARIA_X8,2026-02-07,2026-02-07 17:58:05,https://www.meteo.cat/observacions/xema/dades?codi=X8&dia=2026-02-07T09:00Z,,51%,0.0 mm,1005.1 hPa,12.6 MJ/m2,42.8 km/h - 296º 11:44 TU,16.3 °C 14:08 TU,9.8 °C 5:21 TU,12.5 °C
YX,Batea,BATEA_YX,2026-02-07,2026-02-07 17:58:08,https://www.meteo.cat/observacions/xema/dades?codi=YX&dia=2026-02-07T09:00Z,,66%,0.0 mm,,11.8 MJ/m2,,12.0 °C 13:52 TU,5.3 °C 6:57 TU,8.1 °C
UF,Begues - Pn del Garraf - el Rascler,BEGUES___PN_DEL_GARRAF___EL_RASCLER_UF,2026-02-07,2026-02-07 17:58:10,https://www.meteo.cat/observacions/xema/dades?codi=UF&dia=2026-02-07T09:00Z,,64%,0.1 mm,,12.9 MJ/m2,45.0 km/h - 293º 8:48 TU,12.1 °C 14:14 TU,5.5 °C 3:06 TU,8.1 °C
VB,Benissanet,BENISSANET_VB,2026-02-07,2026-02-07 17:58:12,https://www.meteo.cat/observacions/xema/dades?codi=VB&dia=2026-02-07T09:00Z,,67%,0.1 mm,,11.5 MJ/m2,53.3 km/h - 305º 12:52 TU,16.0 °C 14:03 TU,4.8 °C 1:08 TU,10.6 °C
WM,Berga - Santuari de Queralt,BERGA___SANTUARI_DE_QUERALT_WM,2026-02-07,2026-02-07 17:58:15,https://www.meteo.cat/observacions/xema/dades?codi=WM&dia=2026-02-07T09:00Z,,74%,0.0 mm,,12.7 MJ/m2,39.6 km/h - 313º 17:07 TU,10.5 °C 13:59 TU,0.8 °C 8:04 TU,4.8 °C
W8,Blancafort,BLANCAFORT_W8,2026-02-07,2026-02-07 17:58:17,https://www.meteo.cat/observacions/xema/dades?codi=W8&dia=2026-02-07T09:00Z,,72%,0.0 mm,,,,12.0 °C 14:17 TU,4.7 °C 2:51 TU,8.0 °C
YS,Cabanes,CABANES_YS,2026-02-07,2026-02-07 17:58:20,https://www.meteo.cat/observacions/xema/dades?codi=YS&dia=2026-02-07T09:00Z,,69%,0.0 mm,,10.8 MJ/m2,25.2 km/h - 190º 12:17 TU,16.7 °C 13:46 TU,5.7 °C 3:01 TU,11.8 °C
UP,Cabrils,CABRILS_UP,2026-02-07,2026-02-07 17:58:22,https://www.meteo.cat/observacions/xema/dades?codi=UP&dia=2026-02-07T09:00Z,,52%,0.0 mm,1004.5 hPa,12.0 MJ/m2,46.8 km/h - 311º 7:36 TU,16.2 °C 14:54 TU,9.7 °C 4:04 TU,12.6 °C
